technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time;app
akaze_cropped;Nexus5;Pixel 3;170;52;167;50;28;1260;passandroid
akaze_cropped;Pixel 3;Pixel 3a XL;170;52;165;50;26;2220;passandroid
sift_cropped;Nexus5;Pixel 3;170;52;167;50;28;1420;passandroid
sift_cropped;Nexus S;Nexus S;167;50;167;50;30;280;passandroid
sift_cropped;Nexus S;Pixel 3;167;50;148;50;14;820;passandroid
sift_cropped;Pixel 3;Nexus5;170;52;156;50;18;1340;passandroid
sift_cropped;Pixel 3;Pixel 2xl;170;52;166;50;27;1990;passandroid
sift_cropped;Pixel 3;Nexus 6p;170;52;154;50;21;1770;passandroid
surf_cropped;Nexus5;Nexus S;167;50;136;50;10;850;passandroid
surf_cropped;Nexus S;Nexus S;167;50;150;50;12;1300;passandroid
surf_cropped;Pixel 3;Nexus5;170;52;157;50;21;620;passandroid
surf_cropped;Pixel 3;Pixel XL;170;52;161;50;22;860;passandroid
surf_cropped;Pixel 3;Nexus 6;170;52;165;50;26;880;passandroid
surf_cropped;Pixel 3;Nexus 6p;170;52;158;50;24;900;passandroid
surf_cropped;Pixel 3;Pixel 2;170;52;159;50;24;590;passandroid
akaze_fullscreen;Nexus5;Pixel 2xl;170;52;160;50;21;1780;passandroid
akaze_fullscreen;Nexus5;Pixel 3XL;170;52;159;50;20;1690;passandroid
akaze_fullscreen;Nexus S;Nexus S;167;50;168;50;29;280;passandroid
akaze_fullscreen;Pixel 3;Nexus5;170;52;167;50;28;1210;passandroid
akaze_fullscreen;Pixel 3;Pixel XL;170;52;166;50;27;1560;passandroid
akaze_fullscreen;Pixel 3;Pixel 3a XL;170;52;166;50;27;1260;passandroid
akaze_fullscreen;Pixel 3;Nexus 6;170;52;166;50;27;1570;passandroid
sift_fullscreen;Nexus5;Pixel 2xl;170;52;167;50;29;1990;passandroid
sift_fullscreen;Nexus5;Nexus 6p;170;52;161;50;27;1800;passandroid
sift_fullscreen;Pixel 3;Nexus5x;170;52;167;50;29;1270;passandroid
sift_fullscreen;Pixel 3;Pixel;170;52;167;50;28;1250;passandroid
sift_fullscreen;Pixel 3;Pixel 3a XL;170;52;161;50;25;1340;passandroid
surf_fullscreen;Nexus5;Pixel;170;52;167;50;28;1020;passandroid
surf_fullscreen;Nexus5;Nexus 6p;170;52;161;50;28;1400;passandroid
surf_fullscreen;Nexus5;Pixel 3;170;52;167;50;28;1040;passandroid
surf_fullscreen;Nexus S;Nexus S;167;50;169;50;30;380;passandroid
surf_fullscreen;Pixel 3;Nexus5;170;52;156;50;28;1050;passandroid
surf_fullscreen;Pixel 3;Nexus5x;170;52;166;50;27;1050;passandroid
surf_fullscreen;Pixel 3;Pixel 2xl;170;52;167;50;29;1340;passandroid
surf_fullscreen;Pixel 3;Pixel;170;52;166;50;27;1110;passandroid
surf_fullscreen;Pixel 3;Pixel 2;170;52;160;50;26;1080;passandroid
eyeautomate;Nexus5;Nexus S;234;77;148;51;2;314;antennapod
eyeautomate;Pixel 3;Nexus S;234;77;122;51;0;932;antennapod
surf_cropped;Nexus S;Nexus5x;234;77;154;51;2;2146;antennapod
surf_cropped;Nexus S;Pixel;234;77;156;51;2;2208;antennapod
surf_cropped;Nexus S;Nexus 4;234;77;155;51;3;1082;antennapod
surf_cropped;Pixel 3;Nexus 4;234;77;172;51;4;1287;antennapod
sikuli;Nexus5;Nexus5;170;52;169;51;29;349.8;passandroid
akaze_cropped;Nexus5;Nexus5;170;52;168;51;29;1890;passandroid
akaze_cropped;Nexus5;Pixel 3A;170;52;167;51;28;1310;passandroid
sift_cropped;Pixel 3;Nexus5x;170;52;163;51;24;1330;passandroid
sift_cropped;Pixel 3;Pixel XL;170;52;161;51;24;2050;passandroid
sift_cropped;Pixel 3;Pixel 3XL;170;52;151;51;16;2180;passandroid
sift_cropped;Pixel 3;Pixel 3a XL;170;52;167;51;28;2690;passandroid
sift_cropped;Pixel 3;Nexus 6;170;52;160;51;23;1760;passandroid
sift_cropped;Pixel 3;Pixel 2;170;52;155;51;21;1470;passandroid
sift_cropped;Pixel 3;Pixel 3A;170;52;157;51;28;1490;passandroid
surf_cropped;Nexus5;Nexus5;170;52;165;51;27;1140;passandroid
surf_cropped;Pixel 3;Pixel;170;52;165;51;26;540;passandroid
akaze_fullscreen;Nexus5;Pixel XL;170;52;163;51;24;1540;passandroid
akaze_fullscreen;Nexus5;Pixel 3a XL;170;52;158;51;26;1210;passandroid
akaze_fullscreen;Nexus5;Nexus 6;170;52;163;51;24;1740;passandroid
akaze_fullscreen;Pixel 3;Pixel 3A;170;52;167;51;28;1330;passandroid
sift_fullscreen;Nexus5;Nexus5x;170;52;167;51;28;1300;passandroid
sift_fullscreen;Nexus5;Pixel;170;52;167;51;28;1240;passandroid
sift_fullscreen;Nexus5;Pixel 3;170;52;166;51;27;1290;passandroid
sift_fullscreen;Nexus5;Pixel 3A;170;52;166;51;27;1420;passandroid
sift_fullscreen;Pixel 3;Nexus5;170;52;162;51;24;1310;passandroid
sift_fullscreen;Pixel 3;Pixel 2xl;170;52;169;51;30;2020;passandroid
sift_fullscreen;Pixel 3;Pixel XL;170;52;167;51;28;1820;passandroid
sift_fullscreen;Pixel 3;Nexus 6p;170;52;162;51;28;1800;passandroid
surf_fullscreen;Nexus5;Pixel 2xl;170;52;168;51;29;1420;passandroid
surf_fullscreen;Nexus5;Pixel XL;170;52;167;51;28;1230;passandroid
surf_fullscreen;Nexus5;Pixel 3XL;170;52;167;51;28;1360;passandroid
surf_fullscreen;Nexus5;Nexus 6;170;52;167;51;28;1480;passandroid
surf_fullscreen;Nexus5;Pixel 2;170;52;162;51;27;1120;passandroid
surf_fullscreen;Nexus5;Pixel 3A;170;52;167;51;28;1170;passandroid
surf_fullscreen;Pixel 3;Pixel XL;170;52;167;51;28;1270;passandroid
surf_fullscreen;Pixel 3;Nexus 6;170;52;167;51;28;1260;passandroid
akaze_cropped;Nexus5;Pixel 3a XL;234;77;106;52;1;1196;antennapod
surf_cropped;Nexus S;Pixel 3;234;77;171;52;3;2470;antennapod
sikuli;Pixel 3;Pixel 3;170;52;170;52;30;310.2;passandroid
sikuli;Pixel 3;Pixel 3A;170;52;170;52;30;387.5;passandroid
sift_cropped;Nexus5;Nexus5;170;52;168;52;29;1860;passandroid
sift_cropped;Nexus5;Nexus S;167;50;155;50;20;1330;passandroid
sift_cropped;Pixel 3;Pixel;170;52;159;52;20;1550;passandroid
sift_cropped;Pixel 3;Pixel 3;170;52;169;52;30;1610;passandroid
surf_cropped;Pixel 3;Nexus5x;170;52;165;52;26;580;passandroid
surf_cropped;Pixel 3;Pixel 3;170;52;161;52;24;600;passandroid
surf_cropped;Pixel 3;Pixel 3A;170;52;160;52;26;780;passandroid
akaze_fullscreen;Nexus5;Nexus5;170;52;167;52;30;1410;passandroid
akaze_fullscreen;Pixel 3;Pixel 3;170;52;169;52;30;1290;passandroid
sift_fullscreen;Nexus5;Nexus5;170;52;169;52;30;1480;passandroid
sift_fullscreen;Nexus5;Pixel XL;170;52;168;52;29;1730;passandroid
sift_fullscreen;Nexus5;Nexus 6;170;52;168;52;29;2040;passandroid
sift_fullscreen;Nexus S;Nexus S;167;50;169;50;30;310;passandroid
sift_fullscreen;Pixel 3;Pixel 3XL;170;52;164;52;27;2000;passandroid
sift_fullscreen;Pixel 3;Nexus 6;170;52;167;52;29;1800;passandroid
sift_fullscreen;Pixel 3;Pixel 3;170;52;169;52;30;1310;passandroid
sift_fullscreen;Pixel 3;Pixel 3A;170;52;168;52;29;1400;passandroid
surf_fullscreen;Nexus5;Nexus5;170;52;169;52;30;1710;passandroid
surf_fullscreen;Pixel 3;Pixel 3;170;52;169;52;30;1320;passandroid
surf_fullscreen;Pixel 3;Pixel 3A;170;52;168;52;29;1400;passandroid
akaze_cropped;Pixel 3;Pixel 2;234;77;167;53;3;1129;antennapod
surf_cropped;Nexus S;Pixel 2;234;77;153;53;1;2133;antennapod
eyeautomate;Nexus5;Pixel 3;234;77;182;54;4;428;antennapod
akaze_cropped;Pixel 3;Pixel 2xl;234;77;149;54;1;1874;antennapod
akaze_cropped;Pixel 3;Pixel 3XL;234;77;171;54;1;1891;antennapod
surf_cropped;Nexus S;Nexus5;234;77;176;54;8;2102;antennapod
surf_cropped;Nexus S;Pixel 3A;234;77;171;54;5;2444;antennapod
akaze_cropped;Pixel 3;Nexus5;234;77;201;55;13;1383;antennapod
akaze_cropped;Pixel 3;Pixel XL;234;77;148;55;1;1680;antennapod
akaze_cropped;Pixel 3;Nexus 6;234;77;150;55;1;1694;antennapod
akaze_cropped;Pixel 3;Nexus 6p;234;77;146;55;1;1586;antennapod
eyeautomate;Pixel 3;Nexus5;234;77;153;58;2;269;antennapod
akaze_cropped;Nexus5;Nexus5x;234;77;189;58;10;1067;antennapod
eyeautomate;Nexus5;Pixel 3A;234;77;165;59;2;302;antennapod
akaze_cropped;Nexus5;Pixel;234;77;196;59;12;979;antennapod
akaze_cropped;Nexus5;Pixel 2;234;77;180;59;10;1146;antennapod
akaze_cropped;Pixel 3;Nexus5x;234;77;176;59;3;1092;antennapod
akaze_cropped;Pixel 3;Pixel 3a XL;234;77;164;59;2;1192;antennapod
eyeautomate;Pixel 3;Pixel;234;77;140;60;2;369;antennapod
akaze_cropped;Pixel 3;Pixel;234;77;177;60;3;1147;antennapod
akaze_fullscreen;Nexus S;Pixel 3XL;234;77;207;61;12;1987;antennapod
sift_fullscreen;Pixel 3;Nexus S;234;77;212;61;14;2892;antennapod
akaze_cropped;Nexus5;Pixel 3;234;77;180;61;3;1199;antennapod
akaze_cropped;Pixel 3;Pixel 3A;234;77;187;61;3;1490;antennapod
surf_cropped;Nexus5;Pixel 3a XL;234;77;170;61;3;2591;antennapod
akaze_fullscreen;Nexus S;Pixel XL;234;77;195;62;8;1755;antennapod
akaze_cropped;Nexus5;Pixel 3A;234;77;182;62;3;1202;antennapod
akaze_cropped;Pixel 3;Pixel 3;234;77;188;62;3;1390;antennapod
surf_cropped;Nexus5;Pixel 2xl;234;77;183;63;5;3837;antennapod
eyeautomate;Pixel 3;Nexus5x;234;77;195;64;6;461;antennapod
akaze_fullscreen;Nexus S;Nexus 6;234;77;183;64;0;1773;antennapod
surf_cropped;Nexus5;Pixel 3XL;234;77;183;64;4;3903;antennapod
surf_cropped;Nexus5;Nexus 6p;234;77;180;64;5;3469;antennapod
eyeautomate;Pixel 3;Nexus 6p;234;77;173;65;3;693;antennapod
eyeautomate;Pixel 3;Pixel 2;234;77;131;65;1;486;antennapod
akaze_fullscreen;Nexus S;Pixel 2xl;234;77;212;65;15;2055;antennapod
sift_cropped;Nexus S;Pixel;234;77;175;65;1;2083;antennapod
surf_cropped;Nexus5;Nexus5x;234;77;204;65;9;2287;antennapod
surf_cropped;Nexus5;Pixel XL;234;77;182;65;4;3253;antennapod
surf_cropped;Nexus5;Nexus 6;234;77;178;65;2;3361;antennapod
surf_cropped;Pixel 3;Nexus 6p;234;77;146;65;1;3285;antennapod
eyeautomate;Pixel 3;Pixel 3XL;234;77;177;66;2;748;antennapod
sift_fullscreen;Nexus5;Nexus S;234;77;215;66;17;2279;antennapod
surf_fullscreen;Nexus S;Pixel XL;234;77;178;66;4;3516;antennapod
surf_fullscreen;Nexus S;Nexus 6;234;77;167;66;1;3854;antennapod
sift_cropped;Nexus S;Pixel XL;234;77;175;66;1;3028;antennapod
surf_cropped;Pixel 3;Pixel 3a XL;234;77;197;66;6;2560;antennapod
akaze_fullscreen;Nexus S;Nexus 6p;234;77;184;67;1;1847;antennapod
surf_fullscreen;Nexus S;Pixel 2xl;234;77;186;67;4;3816;antennapod
akaze_cropped;Nexus5;Nexus5;234;77;222;67;20;1273;antennapod
sift_cropped;Nexus5;Pixel 3XL;234;77;193;67;5;3645;antennapod
sift_cropped;Nexus5;Nexus 6p;234;77;190;67;3;3249;antennapod
sift_cropped;Nexus S;Nexus5x;234;77;177;67;3;2078;antennapod
sift_cropped;Nexus S;Pixel 2xl;234;77;176;67;2;3235;antennapod
sift_cropped;Nexus S;Pixel 3XL;234;77;176;67;2;3588;antennapod
sift_cropped;Nexus S;Pixel 3a XL;234;77;178;67;1;2387;antennapod
sift_cropped;Nexus S;Nexus 6p;234;77;177;67;2;2991;antennapod
sift_cropped;Nexus S;Pixel 3A;234;77;174;67;0;2324;antennapod
sift_cropped;Pixel 3;Nexus 4;234;77;199;67;7;1369;antennapod
sift_cropped;Pixel 3;Pixel 3a XL;234;77;196;67;3;2823;antennapod
surf_cropped;Nexus5;Pixel;234;77;202;67;10;2260;antennapod
surf_cropped;Pixel 3;Pixel 2xl;234;77;160;67;1;3767;antennapod
surf_cropped;Pixel 3;Pixel 3XL;234;77;168;67;1;3894;antennapod
eyeautomate;Nexus5;Nexus 4;234;77;216;68;18;325;antennapod
eyeautomate;Pixel 3;Pixel XL;234;77;159;68;3;547;antennapod
surf_fullscreen;Nexus S;Nexus 6p;234;77;171;68;3;3933;antennapod
sift_cropped;Nexus5;Pixel 2xl;234;77;190;68;3;3633;antennapod
sift_cropped;Nexus5;Pixel XL;234;77;189;68;3;3402;antennapod
sift_cropped;Nexus5;Nexus 6;234;77;193;68;3;3232;antennapod
sift_cropped;Nexus S;Nexus 6;234;77;179;68;3;3113;antennapod
sift_cropped;Nexus S;Pixel 2;234;77;177;68;2;2068;antennapod
surf_cropped;Nexus5;Pixel 2;234;77;206;68;12;2409;antennapod
surf_cropped;Pixel 3;Pixel XL;234;77;153;68;1;3501;antennapod
surf_cropped;Pixel 3;Nexus 6;234;77;153;68;1;3541;antennapod
akaze_fullscreen;Nexus S;Nexus5x;234;77;201;69;11;1150;antennapod
akaze_fullscreen;Nexus S;Pixel;234;77;207;69;14;1047;antennapod
akaze_fullscreen;Nexus S;Pixel 2;234;77;209;69;14;1417;antennapod
surf_fullscreen;Nexus5;Pixel 3a XL;234;77;216;69;18;4396;antennapod
surf_fullscreen;Nexus S;Pixel 3XL;234;77;196;69;6;4071;antennapod
surf_fullscreen;Pixel 3;Nexus S;234;77;215;69;15;3303;antennapod
sift_cropped;Nexus5;Pixel;234;77;180;69;3;2375;antennapod
sift_cropped;Nexus5;Nexus 4;234;77;209;69;11;1442;antennapod
sift_cropped;Nexus5;Pixel 2;234;77;179;69;3;2707;antennapod
sift_cropped;Nexus5;Pixel 3;234;77;193;69;5;2652;antennapod
sift_cropped;Nexus S;Pixel 3;234;77;176;69;1;2313;antennapod
eyeautomate;Pixel 3;Nexus 6;234;77;158;70;1;535;antennapod
sift_fullscreen;Nexus S;Pixel;234;77;218;70;14;2263;antennapod
sift_cropped;Nexus5;Pixel 3A;234;77;197;70;6;2602;antennapod
sift_cropped;Pixel 3;Nexus5;234;77;204;70;9;2977;antennapod
eyeautomate;Pixel 3;Pixel 2xl;234;77;187;71;1;479;antennapod
akaze_fullscreen;Nexus5;Pixel 2xl;234;77;219;71;17;2953;antennapod
sift_fullscreen;Nexus S;Nexus5x;234;77;219;71;15;2408;antennapod
sift_fullscreen;Nexus S;Pixel 2;234;77;218;71;14;3008;antennapod
surf_fullscreen;Nexus5;Pixel 2xl;234;77;218;71;16;5009;antennapod
surf_fullscreen;Nexus S;Pixel;234;77;216;71;18;2413;antennapod
surf_fullscreen;Nexus S;Nexus 4;234;77;217;71;16;1553;antennapod
surf_fullscreen;Nexus S;Pixel 3A;234;77;220;71;17;2862;antennapod
sift_cropped;Nexus5;Nexus5x;234;77;193;71;4;2430;antennapod
akaze_fullscreen;Nexus5;Pixel 3XL;234;77;221;72;18;3310;antennapod
akaze_fullscreen;Nexus S;Pixel 3;234;77;221;72;20;1242;antennapod
akaze_fullscreen;Nexus S;Pixel 3A;234;77;224;72;23;1288;antennapod
sift_fullscreen;Nexus5;Pixel 3a XL;234;77;227;72;24;3909;antennapod
surf_fullscreen;Nexus5;Nexus 6;234;77;216;72;15;4958;antennapod
surf_fullscreen;Nexus S;Nexus5x;234;77;219;72;17;2625;antennapod
surf_fullscreen;Nexus S;Pixel 3a XL;234;77;200;72;11;2832;antennapod
surf_fullscreen;Nexus S;Pixel 2;234;77;219;72;17;3128;antennapod
sift_cropped;Nexus S;Nexus 4;234;77;203;72;6;1153;antennapod
sift_cropped;Pixel 3;Nexus5x;234;77;190;72;1;2378;antennapod
eyeautomate;Pixel 3;Nexus 4;234;77;187;73;2;519;antennapod
eyeautomate;Pixel 3;Pixel 3A;234;77;214;73;13;642;antennapod
sikuli;Nexus5;Nexus5;234;77;226;73;23;272;antennapod
akaze_fullscreen;Nexus S;Nexus5;234;77;219;73;19;1115;antennapod
akaze_fullscreen;Nexus S;Nexus 4;234;77;219;73;19;693;antennapod
akaze_fullscreen;Pixel 3;Nexus S;234;77;214;73;15;1457;antennapod
sift_fullscreen;Nexus5;Nexus5x;234;77;230;73;27;6646;antennapod
sift_fullscreen;Nexus5;Pixel 2xl;234;77;229;73;27;4797;antennapod
sift_fullscreen;Nexus S;Pixel 3;234;77;224;73;20;2491;antennapod
sift_fullscreen;Nexus S;Pixel 3A;234;77;224;73;21;2632;antennapod
sift_fullscreen;Pixel 3;Pixel 3a XL;234;77;229;73;25;4427;antennapod
surf_fullscreen;Nexus5;Pixel;234;77;224;73;20;4956;antennapod
surf_fullscreen;Nexus5;Pixel XL;234;77;214;73;15;5663;antennapod
surf_fullscreen;Nexus5;Pixel 3XL;234;77;217;73;16;5683;antennapod
surf_fullscreen;Nexus S;Nexus5;234;77;223;73;19;2504;antennapod
surf_fullscreen;Nexus S;Pixel 3;234;77;221;73;18;2708;antennapod
sift_cropped;Nexus5;Pixel 3a XL;234;77;203;73;5;2637;antennapod
sift_cropped;Nexus S;Nexus5;234;77;222;73;19;1946;antennapod
surf_cropped;Nexus5;Pixel 3;234;77;226;73;25;2517;antennapod
surf_cropped;Nexus5;Pixel 3A;234;77;224;73;20;2595;antennapod
sikuli;Pixel 3;Pixel 3A;234;77;229;74;25;565;antennapod
akaze_fullscreen;Nexus5;Nexus 6;234;77;228;74;24;4938;antennapod
akaze_fullscreen;Nexus5;Pixel 3A;234;77;230;74;26;2549;antennapod
akaze_fullscreen;Nexus S;Pixel 3a XL;234;77;217;74;16;1231;antennapod
sift_fullscreen;Nexus5;Pixel;234;77;229;74;25;4205;antennapod
sift_fullscreen;Nexus5;Pixel 3XL;234;77;230;74;27;5071;antennapod
sift_fullscreen;Nexus5;Nexus 6;234;77;229;74;26;4671;antennapod
sift_fullscreen;Nexus5;Pixel 3A;234;77;230;74;27;3805;antennapod
sift_fullscreen;Nexus S;Pixel XL;234;77;214;74;16;3192;antennapod
sift_fullscreen;Nexus S;Pixel 3XL;234;77;228;74;24;3784;antennapod
sift_fullscreen;Nexus S;Nexus 4;234;77;224;74;21;1512;antennapod
sift_fullscreen;Nexus S;Pixel 3a XL;234;77;223;74;19;2568;antennapod
sift_fullscreen;Pixel 3;Nexus5;234;77;228;74;24;3934;antennapod
sift_fullscreen;Pixel 3;Nexus 6;234;77;229;74;26;6147;antennapod
surf_fullscreen;Nexus5;Nexus5x;234;77;223;74;20;4368;antennapod
surf_fullscreen;Nexus5;Nexus S;234;77;217;74;17;2679;antennapod
surf_fullscreen;Pixel 3;Pixel 3XL;234;77;229;74;25;6550;antennapod
surf_fullscreen;Pixel 3;Nexus 4;234;77;220;74;17;4341;antennapod
sift_cropped;Pixel 3;Pixel;234;77;192;74;1;2420;antennapod
surf_cropped;Nexus S;Nexus S;234;77;229;74;25;677;antennapod
surf_cropped;Pixel 3;Nexus5;234;77;215;74;15;2920;antennapod
surf_cropped;Pixel 3;Nexus5x;234;77;218;74;17;2377;antennapod
eyeautomate;Nexus5;Nexus5;234;77;215;75;15;396;antennapod
eyeautomate;Pixel 3;Pixel 3;234;77;217;75;15;413;antennapod
sikuli;Pixel 3;Pixel 3;234;77;230;75;26;292;antennapod
akaze_fullscreen;Nexus5;Pixel;234;77;227;75;23;2609;antennapod
akaze_fullscreen;Nexus5;Pixel XL;234;77;227;75;24;3312;antennapod
akaze_fullscreen;Nexus5;Nexus S;234;77;229;75;26;1190;antennapod
akaze_fullscreen;Nexus5;Pixel 3a XL;234;77;227;75;25;2312;antennapod
akaze_fullscreen;Nexus5;Nexus 6p;234;77;229;75;25;5175;antennapod
akaze_fullscreen;Nexus5;Pixel 2;234;77;225;75;21;2376;antennapod
akaze_fullscreen;Pixel 3;Nexus 4;234;77;231;75;27;2318;antennapod
sift_fullscreen;Nexus5;Nexus 6p;234;77;231;75;28;9101;antennapod
sift_fullscreen;Nexus S;Nexus5;234;77;229;75;26;2264;antennapod
sift_fullscreen;Nexus S;Pixel 2xl;234;77;226;75;25;3767;antennapod
sift_fullscreen;Nexus S;Nexus 6;234;77;189;75;8;3459;antennapod
sift_fullscreen;Nexus S;Nexus 6p;234;77;202;75;12;3501;antennapod
sift_fullscreen;Pixel 3;Nexus5x;234;77;231;75;27;5198;antennapod
sift_fullscreen;Pixel 3;Pixel;234;77;232;75;28;4014;antennapod
surf_fullscreen;Nexus5;Nexus 6p;234;77;220;75;18;5331;antennapod
surf_fullscreen;Nexus5;Pixel 2;234;77;224;75;20;4354;antennapod
surf_fullscreen;Nexus5;Pixel 3A;234;77;231;75;27;4396;antennapod
surf_fullscreen;Pixel 3;Nexus5x;234;77;231;75;27;6875;antennapod
surf_fullscreen;Pixel 3;Pixel;234;77;231;75;27;4912;antennapod
surf_fullscreen;Pixel 3;Nexus 6;234;77;229;75;25;6978;antennapod
sift_cropped;Pixel 3;Pixel 2xl;234;77;224;75;23;3597;antennapod
sift_cropped;Pixel 3;Pixel XL;234;77;225;75;23;3292;antennapod
sift_cropped;Pixel 3;Pixel 3XL;234;77;221;75;20;3815;antennapod
sift_cropped;Pixel 3;Nexus 6;234;77;224;75;22;3306;antennapod
sift_cropped;Pixel 3;Nexus 6p;234;77;223;75;21;3292;antennapod
sift_cropped;Pixel 3;Pixel 2;234;77;192;75;1;2403;antennapod
surf_cropped;Pixel 3;Pixel;234;77;219;75;17;2482;antennapod
surf_cropped;Pixel 3;Pixel 3A;234;77;231;75;27;3656;antennapod
eyeautomate;Nexus S;Nexus S;234;77;220;76;18;362;antennapod
sikuli;Nexus S;Nexus S;234;77;233;76;29;252;antennapod
akaze_fullscreen;Nexus5;Nexus5x;234;77;226;76;23;3881;antennapod
akaze_fullscreen;Nexus5;Nexus 4;234;77;231;76;28;3115;antennapod
akaze_fullscreen;Nexus5;Pixel 3;234;77;232;76;28;2649;antennapod
akaze_fullscreen;Nexus S;Nexus S;234;77;233;76;29;983;antennapod
akaze_fullscreen;Pixel 3;Nexus5;234;77;230;76;26;2806;antennapod
akaze_fullscreen;Pixel 3;Nexus5x;234;77;233;76;29;3825;antennapod
akaze_fullscreen;Pixel 3;Pixel;234;77;233;76;29;2959;antennapod
akaze_fullscreen;Pixel 3;Pixel 3a XL;234;77;233;76;29;2961;antennapod
akaze_fullscreen;Pixel 3;Nexus 6p;234;77;233;76;29;3493;antennapod
akaze_fullscreen;Pixel 3;Pixel 2;234;77;232;76;28;3050;antennapod
akaze_fullscreen;Pixel 3;Pixel 3A;234;77;233;76;29;4045;antennapod
sift_fullscreen;Nexus5;Nexus 4;234;77;232;76;28;5176;antennapod
sift_fullscreen;Nexus5;Pixel 3;234;77;232;76;28;3744;antennapod
sift_fullscreen;Nexus S;Nexus S;234;77;232;76;28;1146;antennapod
sift_fullscreen;Pixel 3;Nexus 4;234;77;232;76;28;3743;antennapod
sift_fullscreen;Pixel 3;Nexus 6p;234;77;231;76;27;5089;antennapod
sift_fullscreen;Pixel 3;Pixel 2;234;77;232;76;28;4162;antennapod
sift_fullscreen;Pixel 3;Pixel 3A;234;77;233;76;29;4732;antennapod
surf_fullscreen;Nexus5;Pixel 3;234;77;232;76;28;4563;antennapod
surf_fullscreen;Nexus S;Nexus S;234;77;232;76;28;1683;antennapod
surf_fullscreen;Pixel 3;Pixel 2xl;234;77;232;76;28;6338;antennapod
surf_fullscreen;Pixel 3;Pixel XL;234;77;231;76;27;6099;antennapod
surf_fullscreen;Pixel 3;Nexus 6p;234;77;232;76;28;5932;antennapod
surf_fullscreen;Pixel 3;Pixel 2;234;77;230;76;27;5136;antennapod
surf_fullscreen;Pixel 3;Pixel 3A;234;77;233;76;29;7404;antennapod
sift_cropped;Nexus S;Nexus S;234;77;232;76;28;739;antennapod
sift_cropped;Pixel 3;Pixel 3A;234;77;233;76;29;3473;antennapod
surf_cropped;Nexus5;Nexus5;234;77;232;76;28;2861;antennapod
surf_cropped;Pixel 3;Pixel 2;234;77;219;76;13;2246;antennapod
surf_cropped;Pixel 3;Pixel 3;234;77;232;76;28;3121;antennapod
akaze_fullscreen;Nexus5;Nexus5;234;77;234;77;30;6896;antennapod
akaze_fullscreen;Pixel 3;Pixel 2xl;234;77;234;77;30;4137;antennapod
akaze_fullscreen;Pixel 3;Pixel XL;234;77;233;77;29;3693;antennapod
akaze_fullscreen;Pixel 3;Pixel 3XL;234;77;234;77;30;4022;antennapod
akaze_fullscreen;Pixel 3;Nexus 6;234;77;234;77;30;4021;antennapod
akaze_fullscreen;Pixel 3;Pixel 3;234;77;234;77;30;4224;antennapod
sift_fullscreen;Nexus5;Nexus5;234;77;234;77;30;7387;antennapod
sift_fullscreen;Nexus5;Pixel XL;234;77;231;77;27;5830;antennapod
sift_fullscreen;Nexus5;Pixel 2;234;77;233;77;29;3809;antennapod
sift_fullscreen;Pixel 3;Pixel 2xl;234;77;234;77;30;5633;antennapod
sift_fullscreen;Pixel 3;Pixel XL;234;77;231;77;27;5273;antennapod
sift_fullscreen;Pixel 3;Pixel 3XL;234;77;233;77;29;5565;antennapod
sift_fullscreen;Pixel 3;Pixel 3;234;77;234;77;30;4532;antennapod
surf_fullscreen;Nexus5;Nexus5;234;77;234;77;30;5875;antennapod
surf_fullscreen;Nexus5;Nexus 4;234;77;224;77;20;3324;antennapod
surf_fullscreen;Pixel 3;Nexus5;234;77;232;77;28;4643;antennapod
surf_fullscreen;Pixel 3;Pixel 3a XL;234;77;230;77;26;5004;antennapod
surf_fullscreen;Pixel 3;Pixel 3;234;77;234;77;30;6893;antennapod
sift_cropped;Nexus5;Nexus5;234;77;234;77;30;2647;antennapod
sift_cropped;Pixel 3;Pixel 3;234;77;234;77;30;2967;antennapod
